tag_id,name,category,count,name_zh,category_zh
99999999,rating_general,9,1589178,一般,评级
99999998,rating_sensitive,9,3994361,敏感,评级
99999997,rating_questionable,9,892496,可疑,评级
99999996,rating_explicit,9,706509,露骨,评级
9999999,general,9,1589178,一般,评级
9999998,sensitive,9,3994361,敏感,评级
9999997,questionable,9,892496,可疑,评级
9999996,explicit,9,706509,露骨,评级
470575,1girl,0,5113288,1个女孩,人物数量
212816,solo,0,4253220,单人,人物数量
13197,long_hair,0,3645082,长发,头发
8601,breasts,0,2889545,乳房,身体
469576,looking_at_viewer,0,2696730,看着观众,姿势
3389,blush,0,2496356,脸红,表情
1815,smile,0,2365730,微笑,表情
11906,open_mouth,0,1950469,张嘴,表情
15080,short_hair,0,1904624,短发,头发
10959,blue_eyes,0,1490640,蓝色眼睛,眼睛
412368,simple_background,0,1420030,简单背景,背景
12590,shirt,0,1382452,衬衫,服装
403247,large_breasts,0,1333379,巨乳,身体
429,skirt,0,1328225,裙子,服装
87788,blonde_hair,0,1311581,金发,头发
566835,multiple_girls,0,1309199,多名女孩,人物数量
16867,brown_hair,0,1267072,棕发,头发
13200,black_hair,0,1225953,黑发,头发
383159,long_sleeves,0,1199349,长袖,服装
380350,hair_ornament,0,1175185,发饰,头发
515193,white_background,0,1161729,白色背景,背景
540830,1boy,0,1129709,1个男孩,人物数量
5735,gloves,0,1113040,手套,服装
8526,red_eyes,0,1081613,红色眼睛,眼睛
2241,dress,0,1046050,连衣裙,服装
1882,thighhighs,0,1034635,过膝袜,服装
2373,hat,0,1034610,帽子,服装
375387,holding,0,1022399,拿着,姿势
4563,bow,0,984380,蝴蝶结,服装
9294,navel,0,974528,肚脐,身体
6126,animal_ears,0,950191,动物耳朵,特征
464575,ribbon,0,937186,丝带,服装
658573,hair_between_eyes,0,922798,眼睛间头发,头发
572080,closed_mouth,0,876401,闭嘴,表情
1821,2girls,0,860944,2个女孩,人物数量
4607,cleavage,0,848453,乳沟,身体
16613,jewelry,0,829749,珠宝,服装
376054,bare_shoulders,0,815753,裸肩,身体
417660,very_long_hair,0,783428,极长发,头发
12289,sitting,0,782247,坐姿,姿势
1709,twintails,0,770972,双马尾,头发
667868,medium_breasts,0,770389,中乳,身体
16578,brown_eyes,0,747352,棕色眼睛,眼睛
15675,standing,0,733225,站姿,姿势
8889,nipples,0,717669,乳头,身体
10960,green_eyes,0,711390,绿色眼睛,眼睛
464906,underwear,0,706352,内衣,服装
10953,blue_hair,0,704952,蓝发,头发
3843,jacket,0,700303,外套,服装
16509,school_uniform,0,688100,校服,服装
15654,purple_eyes,0,669153,紫色眼睛,眼睛
466499,collarbone,0,655630,锁骨,身体
15674,tail,0,634183,尾巴,特征
376766,white_shirt,0,629056,白色衬衫,服装
608813,full_body,0,624413,全身,姿势
547463,upper_body,0,595301,上半身,姿势
391,panties,0,580171,内裤,服装
465619,closed_eyes,0,570045,闭眼,表情
89189,yellow_eyes,0,565375,黄色眼睛,眼睛
444,swimsuit,0,564464,泳装,服装
16581,white_hair,0,563701,白发,头发
11429,pink_hair,0,551851,粉发,头发
1681,monochrome,0,547787,单色,风格
16580,grey_hair,0,529760,灰发,头发
3522,ahoge,0,528662,呆毛,头发
4334,braid,0,525679,辫子,头发
464561,hair_ribbon,0,525639,发带,头发
16442,purple_hair,0,524002,紫发,头发
1300281,male_focus,0,516211,男性焦点,人物数量
2355,ponytail,0,514797,马尾,头发
8101,ass,0,513666,臀部,身体
464559,flower,0,512140,花,物品
11449,weapon,0,506828,武器,物品
390728,multicolored_hair,0,501249,多色头发,头发
472154,short_sleeves,0,499860,短袖,服装
484168,sidelocks,0,484224,侧发,头发
63,comic,0,474986,漫画,风格
622137,hetero,0,472134,异性恋,NSFW
2750,heart,0,467808,爱心,表情
3870,thighs,0,465668,大腿,身体
384553,:d,0,464842, :d表情,表情
374844,hair_bow,0,455229,发蝴蝶结,头发
2363,pantyhose,0,441476,连裤袜,服装
13879,outdoors,0,439693,户外,背景
660909,cowboy_shot,0,438408,牛仔镜头,姿势
13804,earrings,0,434737,耳环,服装
513837,greyscale,0,432002,灰度,风格
6539,bikini,0,426322,比基尼,服装
